ADOM,Device Name,Interface Name,Non-RFC1918 IP
ABU_ArlingtonBaptistUniversity,ABU01-FortiGate-200F,port3,97.77.180.178
ABU_ArlingtonBaptistUniversity,ABU01-FortiGate-200F,port17,170.55.173.182
ABU_ArlingtonBaptistUniversity1,ABU-FortiGate-60F-Front-Gate,wan1,70.115.29.146
AFR_ArchitecturalFlooringResource,AFRNY-FGT-80E,wan1,96.239.59.219
AMEREX,AMXG-NY-FW1,wan1,209.148.44.178
AMEREX,AMXG-NY-FW1,wan2,184.75.16.18
AMEREX,AMXG-PAS-FW1,wan1,74.62.199.162
APM_AdvancedPortfolioManagement,APM-60F,wan1,38.88.218.38
APM_AdvancedPortfolioManagement,APM-60F,wan2,208.255.74.82
APM_AdvancedPortfolioManagement,APM-60F,internal4,72.80.117.19
ASI_ArchitecturalSystemsInc,ASI-FGT80E,wan1,108.29.95.92
ASI_ArchitecturalSystemsInc,ASI-FGT80E,wan2,208.105.36.142
ATR_AndreolaTerrazzo,FGT-ATRN-50E,wan1,71.78.187.50
AWF_AlterWolff,AWF-60F-FW1,wan1,38.140.248.170
AWF_AlterWolff,AWF-60F-FW1,wan2,50.75.220.122
AWF_AlterWolff,AWF-60F-FW1,dmz,158.106.194.58
BBB_BitByBit-Corp,BBB-W29TH-FW,wan1,100.37.240.119
BBB_BitByBit-Corp,BBB-W29TH-FW,wan2,172.254.169.122
BBB_BitByBit-Corp,FWF60E-BBB-ARLINGTON,wan1,150.220.230.154
BBB_BitByBit-DataCenter,fgt-600e-drt1,port3,64.125.35.97
BBB_BitByBit-DataCenter,fgt-600e-drt1,x1,38.122.116.10
BBB_BitByBit-DataCenter,fgt-600e-drt1,loop.test,74.119.228.1
BBB_BitByBit-DataCenter,fgt-600e-drt1,loop.appdev1,74.119.228.8
BBB_BitByBit-DataCenter-Texas,FG200E-TX-B,wan1,72.28.112.194
BBB_BitByBit-DataCenter-Texas,FG200E-TX-B,wan2,38.140.118.178
BBB_BitByBit-DataCenter-Texas,FG200E-TX-B,port7,38.107.205.193
BBB_BitByBit-DataCenter-Texas,FG200E-TX-B,WAN-DMZ,70.36.17.113
BBB_Kent,FGT60F-KTAM,wan2,68.161.193.200
BEN_BenharFurniture,BENHAR-FGT-100F,wan1,68.129.198.202
BEN_BenharFurniture,BENHAR-FGT-100F,wan2,108.41.50.210
BEN_BenharFurniture,BENHAR-FGT-100F,port1,96.246.24.30
BEN_BenharFurniture,BENHAR-FGT-100F,port2,172.254.169.123
