ADOM,Device Name,Status,Non-RFC1918 IPs
ABU_ArlingtonBaptistUniversity,ABU01-FortiGate-200F,Connected,"97.77.180.178, 170.55.173.182"
ABU_ArlingtonBaptistUniversity1,ABU-FortiGate-60F-Front-Gate,Connected,70.115.29.146
AFR_ArchitecturalFlooringResource,AFRNY-FGT-80E,Connected,96.239.59.219
AMEREX,AMXG-NY-FW1,Connected,"209.148.44.178, 184.75.16.18"
AMEREX,AMXG-PAS-FW1,Connected,74.62.199.162
APM_AdvancedPortfolioManagement,APM-60F,Connected,"38.88.218.38, 208.255.74.82, 72.80.117.19"
ASI_ArchitecturalSystemsInc,ASI-FGT80E,Connected,"108.29.95.92, 208.105.36.142"
ATR_AndreolaTerrazzo,FGT-ATRN-50E,Connected,71.78.187.50
AWF_AlterWolff,AWF-60F-FW1,Connected,"38.140.248.170, 50.75.220.122, 158.106.194.58"
BBB_BitByBit-Corp,BBB-W29TH-FW,Connected,"100.37.240.119, 172.254.169.122"
BBB_BitByBit-Corp,FGT60F-BRUCE,Connected,None
BBB_BitByBit-Corp,FWF60E-BBB-ARLINGTON,Connected,150.220.230.154
BBB_BitByBit-DataCenter,fgt-600e-drt1,Connected,"64.125.35.97, 38.122.116.10, 74.119.228.1, 74.119.228.8"
BBB_BitByBit-DataCenter-Texas,FG200E-TX-B,Connected,"72.28.112.194, 38.140.118.178, 38.107.205.193, 70.36.17.113"
BBB_Kent,FGT60F-KTAM,Connected,68.161.193.200
BEN_BenharFurniture,BENHAR-FGT-100F,Connected,"68.129.198.202, 108.41.50.210, 96.246.24.30, 172.254.169.123"
BSCF_BleakleyFinancialGroup,BLK-AM-FLEM-NJ-40F,Connected,50.184.108.65
BSCF_BleakleyFinancialGroup,BLK-DNV-FW,Connected,50.78.194.229
BSCF_BleakleyFinancialGroup,BLK-MA-FW,Connected,50.187.0.105
BSCF_BleakleyFinancialGroup,BLK-MI-40F,Connected,50.210.180.153
BSCF_BleakleyFinancialGroup,BLK-NJ-200F-HA,Connected,"50.215.137.201, 173.251.50.162"
BSCF_BleakleyFinancialGroup,BLK-NJ-FGT-A,Connected,"198.46.107.83, 47.22.12.130"
BSCF_BleakleyFinancialGroup,BLK-WB-FW1,Connected,70.183.142.139
